INSTITUTION TYPE,Broker/Dealer,Central Bank,Commercial Bank,Corporate,Custodian,Exchange,Investment Bank,Investment Manager,Market Infrastructure,Not selected,Payments Market Infrastructure,Retail Bank,Software Vendor / Consultancy
Complimentary Day Pass with lunch,1.0,5.0,,22.0,2.0,,4.0,3.0,19.0,,12.0,,9.0
null,,2.0,,,,,,,,,,,
SWIFT Business Team Pass with lunch,5.0,6.0,10.0,88.0,2.0,8.0,4.0,,304.0,,116.0,,449.0
Complimentary Week Long Participant Pass with lunch,7.0,26.0,23.0,65.0,,,6.0,,22.0,,20.0,2.0,86.0
Week Long Participant Pass with lunch,37.0,679.0,1140.0,202.0,32.0,20.0,201.0,84.0,139.0,9.0,418.0,160.0,789.0
Speaker Pass with lunch,13.0,34.0,75.0,66.0,10.0,3.0,31.0,30.0,23.0,,19.0,3.0,122.0
Week Long Participant Pass without lunch,29.0,351.0,1771.0,226.0,192.0,57.0,211.0,86.0,171.0,,217.0,164.0,1541.0
Complimentary Media Sponsor Pass without lunch,,,,16.0,,,,,,,,,2.0
Week Long Participant Pass - Exhibitor voucher used without lunch,4.0,4.0,266.0,11.0,11.0,,32.0,,68.0,,40.0,14.0,188.0
Press Pass with lunch,20.0,3.0,7.0,123.0,11.0,,7.0,,19.0,,35.0,3.0,176.0
SWIFT Crew Pass with lunch,,,,,,,,,,182.0,,,
Chairpersons Pass with lunch,,196.0,346.0,2.0,2.0,17.0,10.0,,,,23.0,64.0,6.0
Two Days without lunch,7.0,27.0,137.0,47.0,9.0,7.0,20.0,,40.0,,26.0,11.0,183.0
Complimentary Week Long Participant Pass without lunch,,,10.0,15.0,1.0,4.0,,6.0,,,35.0,4.0,68.0
Trainee SWIFT Team Pass with lunch,9.0,,16.0,19.0,10.0,,,,34.0,,32.0,,138.0
Week Long Participant Pass - Exhibitor voucher used with lunch,,30.0,15.0,21.0,7.0,,11.0,,1.0,,65.0,5.0,68.0
Trainee SWIFT Team 2 Days Pass with lunch,,,5.0,30.0,,,3.0,,16.0,,19.0,,53.0
One Day without lunch,6.0,9.0,32.0,26.0,11.0,2.0,10.0,12.0,2.0,,22.0,,72.0
Two Days with lunch,,10.0,88.0,19.0,,2.0,18.0,10.0,3.0,,4.0,,74.0
Board Member Pass with lunch,,,,,,,,,,56.0,,,
One Day with lunch,4.0,2.0,24.0,10.0,4.0,,5.0,15.0,6.0,,,4.0,39.0
Corporate Forum Pass with lunch,,,23.0,240.0,,3.0,5.0,19.0,,,1.0,,70.0
Central Coordinator Pass without lunch,,,8.0,,,,,,4.0,,,,16.0
Contractor Pass without lunch,,,,,,,,,,127.0,,,
Conference Staff pass with lunch,,,,,,,,,,68.0,,,
Complimentary Accompanying Person with lunch,7.0,,,1.0,,,,,,,,3.0,
Complimentary Global Media Sponsor Pass without lunch,,,,1.0,,,,,,,,,
SWIFT Business Day Pass with lunch,,,,,,,,,7.0,,5.0,,2.0
Central Coordinator Pass with lunch,,2.0,8.0,,,,1.0,,1.0,,1.0,,1.0
Investment Manager Forum Pass with lunch,,,4.0,,,,,74.0,,,,,
Investment Manager Forum Pass without lunch,,,,,,,,2.0,,,,,
Complimentary Day Pass without lunch,2.0,6.0,,3.0,,,5.0,3.0,,,1.0,3.0,4.0
